2026-07-02 19:49:38 | WARNING  | osv_fetcher | OSV lookup failed for CVE-2026-45659: HTTP 400
2026-07-02 19:49:38 | WARNING  | osv_fetcher | OSV lookup failed for CVE-2026-48558: HTTP 400
2026-07-02 19:49:38 | WARNING  | osv_fetcher | OSV lookup failed for CVE-2026-12569: HTTP 400
2026-07-02 22:22:25 | WARNING  | osv_fetcher | OSV lookup exception for CVE-2026-48558: Cannot connect to host osv.devcve-2026-48558:443 ssl:default [Name or service not known]
2026-07-02 22:22:25 | WARNING  | osv_fetcher | OSV lookup exception for CVE-2026-12569: Cannot connect to host osv.devcve-2026-12569:443 ssl:default [Name or service not known]
2026-07-02 22:22:25 | WARNING  | osv_fetcher | OSV lookup exception for CVE-2026-45659: Cannot connect to host osv.devcve-2026-45659:443 ssl:default [Name or service not known]
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-20230 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-34909 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-48907 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2025-67038 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-20253 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-34910 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-12569 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-45659 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-48558 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-34908 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-10520 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-54420 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-20262 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-35273 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-11645 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-7473 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-50751 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-20245 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-42271 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-28318 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2025-48595 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-45321 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-0257 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-8398 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-9082 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-45247 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-48172 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-48027 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2024-21182 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2009-1537 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2026-34926 not found in OSV database.
2026-07-03 20:13:49 | INFO     | osv_fetcher | CVE CVE-2010-0249 not found in OSV database.
2026-07-03 20:13:50 | INFO     | osv_fetcher | CVE CVE-2008-4250 not found in OSV database.
2026-07-03 20:13:50 | INFO     | osv_fetcher | CVE CVE-2026-41091 not found in OSV database.
2026-07-03 20:13:50 | INFO     | osv_fetcher | CVE CVE-2010-0806 not found in OSV database.
2026-07-03 20:13:50 | INFO     | osv_fetcher | CVE CVE-2026-45498 not found in OSV database.
2026-07-03 20:13:50 | INFO     | osv_fetcher | CVE CVE-2026-20182 not found in OSV database.
2026-07-03 20:13:50 | INFO     | osv_fetcher | CVE CVE-2026-0300 not found in OSV database.
2026-07-03 20:13:50 | INFO     | osv_fetcher | CVE CVE-2026-6973 not found in OSV database.
